date,time,tweet,Food Delivery,Aspect,Sentiment
2020-08-29,11:04:31,หงุดหงิดมาก จะสั่งอาหารรอมาครึ่งชั่วโมงโดนกดยกเลิกออเดอร์ หักเงินไปแล้วด้วย เบอร์โทรก็ไม่มีให้ติดต่อ ตั้งใจจะแบนเลิกใช้แต่เห็นว่าน่าจะรอไม่นานเลยเออสั่งอีกสักครั้ง คือหลังจากนี้ขอบายนะ #foodpanda,Yes,Company,Negative
2020-08-29,01:02:46,#foodpanda สุดจะทน มีใครเป็นบ้างเวลาถูกยกเลิกออร์เดอร์เงินที่ถูกหักจากบัตรไปไม่ได้คืน เมื่อสอบถามทางฟู๊ดได้บอกว่าโอนกลับคืนมาแล้ว และให้เลขอ้างอิงมาเพื่อให้ไปคุยกับธนาคารเอง คือที่ชอบให้หักจากบัตรเพราะคนส่งจะได้ฝากของไว้ให้เลยไม่ต้องเสียเวลารอ สุดท้ายเราต้องมาเสียเวลาตามตังตัวเอง,Yes,System,Negative
2020-08-28,18:39:59,กี่รอบแล้ว เป็นแอพที่ส่งช้ากว่าเจ้าอื่น คำนวณเวลาให้แบบมั่วๆหรอ #foodpanda  @foodpandathailand  pic.twitter.com/npDJHkkAzm,Yes,System,Negative
2020-08-28,11:29:58,"ไรเดอร์ของฟู๊ดแพนด้าคือสันดานเสียมาก ขอใช้คำว่าสันดานนน 🙄🙄🙄 

เลิกใช้บริการไปนานมากตั้งแต่ ไรเดอร์โทรสั่งให้กดยกเลิกออเดอร์เพราะไม่อยากมาส่ง แล้วเงินก็ไม่คืนให้ สักที พอกลับมาใช้ใหม่ก็คือเออจะไม่คัดคนจริงหรอ?? ห่วย! 🙄🙄🙄🙄🙄
#foodpanda",Yes,Employee,Negative
2020-08-26,18:23:34,วันนี้ให้ควยพนักงาน #foodpanda ไป ไม่เกี่ยวกับการเมือง แต่เกี่ยวกับกรูข้ามทางม้าลายแล้วบีบแตรใส่พอพ้นตะโกนด่าข้ามถนนยังไงวะ 🙄,Yes,Employee,Negative
2020-08-26,17:29:38,#โปรเหนือ 🦀บอกต่อ ใช้โค้ด HAPPYRIDER ลด 50 บาท แพนด้าน่าร๊าก 🐼 ฟู๊ดแพนด้า หิวใช่มั้ย ยังไม่ได้ทำกับข้าวใช่มั้ย อยากกินร้านไหน ร้านนั้นมีในนี้ จัดเลยจ้า #reviewchiangmai #foodpanda #เดลิเวอรี่ #ส่งอาหาร #ฟู๊ดแพนด้า pic.twitter.com/y7nykVzH6c,Yes,Price,Positive
2020-08-25,21:20:32,#foodpanda แพงไปไหมขั้นต่ำ70บาทอ่ะ เเล้วราคาที่จ่ายไปคุ้มกับอาหารที่ได้รึเปล่า แค่50บาทก็พอแล้วไหม ไม่งั้นจะเลิกสนับสนุนเเล้วนะ ขึ้นราคาทำไม ชี้เเจงได้ไหม? โควิดแทนที่จะช่วยกัน ค่าส่วนต่างมีทำไม? ข้าวถูกนะแต่ค่าส่วนต่างแพงมาก เกินไปไหม,Yes,Price,Negative
2020-08-25,12:55:10,กูจะยกเลิก #foodpanda ไม่ใช่เพราะว่าสนับสนุนเนชั่นอย่างเดียวนะ แต่ระบบแม่งห่วยมากด้วย กูหิว กูจะได้แดกไหม ชั่วโมงกว่าแล้ว โว้ยยยย,Yes,System,Negative
2020-08-23,23:23:51,"วันนี้สั่งผัดกะเพราหมูกรอบไข่ดาวจาก #foodpanda ในแอพเขียน 50฿ แต่พอลงมารับอาหารกลับเรียกเก็บเรา 70฿ เราก็ไม่ได้ถามอะไรเพราะหิวมาก ไม่ทราบว่า #foodpanda มีค่าบริการอะไรเพิ่มหรือป่าวคะ
เก็บเอาไปลงโฆษณาให้เนชั่นรึป่าวเอ๋ย น่าคิดเนาะ",Yes,Price,Negative
2020-08-23,19:40:33,"@foodpanda_th แอปดูงงๆไหมคะ วันนี้สั่งอาหารผ่านฟูดแพนด้า ไรเดอร์หยิบมาไม่ครบ หาเบอร์ติดตาร้านจากแอปไม่ได้ต้องไปหาในไลน์แมนแล้วถึงเจอ พอโทรไป ร้านก็ติดต่อไรเดอร์ไม่ได้ หาเบอร์เราก็ไม่ได้ สุดท้ายร้านขับรถมาส่งเอง
นี่จะคอมเพลนแอปในแอปก็หาที่ไม่เจอไปอีก #foodpanda",Yes,Employee,Negative
2020-08-23,19:18:54,FORYOU50 ใช้งานไม่ได้เลย #foodpandaTH #foodpanda,Yes,Price,Negative
2020-08-23,15:43:38,"คือแย่มาก !! ราคา 50 คุณภาพไม่ถึง 5 บาท !!!! 

#foodpandaTH #foodpanda #รังสิต #ฟู้ดแพนด้า https://twitter.com/idontneedahurt/status/1297448280687652864 …",Yes,Price,Negative
2020-08-23,01:56:48,คือเราพึ่งเลิกงานเรากำลังขับรถกลับห้อง รถเราดับอยู่ถนนใหญ่แถวๆเจ็ดยอดคนขับผ่านไปมาโคตรเยอะไม่มีใครช่วยเลยเว้ย คือแบบตกใจละก็กลัวด้วยเพราะมันดึกมากๆแล้ว แต่มีคนขับ #foodpanda คนนึงมาช่วยดันรถให้จนมาถึงปั๊มเค้าน่ารักมาก ระหว่างที่เค้าดันรถให้ก็ได้คุยกันนิดหน่อย,Yes,Employee,Positive
2020-08-22,22:50:24,วันนี้เกิดเรื่องเลยสั่งได้ของไม่ครบ โทรหาคนขับเงียบไม่รับสาย รอบหน้ากูไม่สั่งละ #foodpanda  pic.twitter.com/QSHx6s3mmR,Yes,Employee,Negative
2020-08-22,20:44:34,#foodpanda มีแต่โปรลค.ใหม่ ลค.เก่านี้คือโปรเหงาเว่อ...,Yes,Price,Negative
2020-08-22,20:16:46,ลองเลิกใช้  #foodpanda แล้วไปใช้ Get สรุปค่าส่งถูกกว่า (ร้านเดียวกัน ที่ส่งเหมือนกัน) โปรโมชั่นก็ดีกว่า อะไรหลายๆอย่างก็ดีกว่า จบ ไม่กลับไปใช้อีกและ,Yes,Price,Negative
2020-08-22,19:14:28,แต่แอพมันห่วยแตกมากนะ  #foodpanda,Yes,System,Negative
2020-08-22,18:54:34,ปักหมุดยากมาก เลยแก้ปัญหาโดยการไม่ใช้บริการซะเลย #foodpanda,Yes,System,Negative
2020-08-22,18:53:34,ปกติสั่งแต่ #foodpanda เพราะถูกและโปรใช้ได้จริงๆ ,Yes,Price,Positive
2020-08-22,18:23:55,เคยนั่งรอข้าวจากฟู้ดแพนด้า แม่งนานกว่านั่งรอที่ร้านอีก รอข้าวเกือบชมละจู่ๆมายกเลิกเฉย อิเวงงง กูหิววว  #foodpanda,Yes,Employee,Negative
2020-08-22,17:54:16,เลิกใช้ #foodpanda ถาวร,Yes,Company,Negative
2020-08-22,17:45:11,ไปๆมาๆ grab ถูกกว่าอีก ซื้อต้องขั้นต่ำ70บาท ค่าส่งอีก9บาท ฉันคนเดียวมื้อเกือบร้อย #foodpanda,Yes,Price,Negative
2020-08-22,17:44:12,อยากบอกว่าแอพ #foodpanda อ่ะ โคตรห่วย เลื่อนดูร้านอาหารไปเยอะๆแล้วอืดมาก ระบบปักหมุดพิกัดก็ป่วย ปักตรงนี้ไปเด้งตรงนู้น ปักตรงนู้นไปเด้งตรงโน้น ต้องคอยบอกไรเดอร์เองว่าให้มาทางนี้ๆนะ ลูกค้าต้องบอกทางเองแล้วจะมีให้ปักหมุดทำไมมิทราบ,Yes,System,Negative
2020-08-22,17:28:08,แบนถาวรเพราะอีmettad #foodpanda  pic.twitter.com/tZ0YWKYQMo,Yes,Company,Negative
2020-08-22,17:08:36,เคยรออาหาร30นาที แล้วอยู่ๆก็มายกเลิกตอนเหลือ5นาที ไม่รู้ความผิดร้านหรือแอพ แต่โมโหหิวไปแล้วเลยนอยยาวๆ #foodpanda,Yes,System,Negative
2020-08-22,16:55:03,ไม่ค่อยได้สั่งอยู่แล้วเพราะส่งช้ามากทั้งที่ร้านไกล้ๆ #foodpanda,Yes,Employee,Negative
2020-08-22,16:44:45,แต่พิกัดเหี้ยจริง สั่งตรงนู่นออกตรงนี้ #foodpanda,Yes,System,Negative
2020-08-22,16:36:45,"หลายรอบกับการสั่งโดยตัดบัตร แล้วไม่ได้ของหรือของไม่ครบ ซึ่งสิ่งที่บริษัทพยายามชดเชยคือ การส่งคูปองส่วนลดมาให้ โดยบอกว่าให้เพิ่มจากที่ต้องได้รับคืน และใช้คำว่าแทนคำขอโทษ แต่ความจริงนั้นเราต้องสั่งใหม่ เสียค่าส่งใหม่ค่ะ 🙄

ปล.ในรูปคือขาดข้าว 15 บาท ค่าส่งใหม่ 9 บาท 
#foodpanda  pic.twitter.com/uvUgMjJWwZ",Yes,Company,Negative
2020-08-22,16:34:38,"เอาล่ะ ไหนๆก็มีแท็ก เราจะมาเล่าเรื่องการโดน #foodpanda โกงเงินค่ะ 

ในวันที่13สิงหา เราได้ทำการสั่งซิลเลอร์ไป1รายการ แต่เงินในบัญชีกลับถูกหักไปถึง2ครั้งตามรูปที่แนบ เราเลยติดต่อทางฟู๊ดแพนด้าไป2ช่องทางคือ ทางเฟสบุ๊คและทางอีเมล (1)  pic.twitter.com/qUxL6MKpvs",Yes,Company,Negative
2020-08-22,16:34:16,เคยจะเลิกสั่ง #foodpanda เพราะช้ามาก และน่าวีนสุด,Yes,Employee,Negative
2020-08-22,16:06:01,ช่วงนี้ไม่ได้สั่งเลย เพราะแบบบ้านไกล ค่าส่งแพง แบนไปในตัว #foodpanda,Yes,Price,Negative
2020-08-22,15:53:08,แหะๆ ฉันเริ่มถอยออกมาตั้งแต่โดนแกงว่าส่งฟรี พอจะกดสั่งดันมีค่าส่ง อะมีพรูฟ ฝาก #foodpanda @foodpanda_th นอกจากฝากพิจารณาการสนับสนุนสื่อที่ทำข่าวบิดเบือนก็ขอฝากแก้ไขในเรื่องนี้ด้วยนะคะ ขอบคุณค่ะ pic.twitter.com/4ujEPnjT24,Yes,Price,Negative
2020-08-22,15:51:22,พูดก็พูดเถอะ สั่งกับฟพด มีปัญหาบ่อยมาก แต่ยอมๆไปบ้างเพราะหิว หนักสุดคือเอาอาหารที่เราสั่งไปให้ใครไม่รู้ อีนี่ก็รอไปเถอะ งง ในแอพขึ้นว่ารับเเล้วแต่นี่ไม่ได้อาหาร #foodpanda,Yes,Employee,Negative
2020-08-22,15:50:55,"มีใครจะมาแชร์ ประสบการณ์เจอไรเดอร์แย่ๆบ้างมั๊ย ชั้นเจอเยอะเหลือเกิน....
#foodpanda",Yes,Employee,Negative
2020-08-22,15:42:39,"ต่อให้ไม่สปอนเนชั่น ฉันก็คงไม่กลับมาใช้ ที่ยกเลิกแอพไปเพราะขั้นต่ำพี่70฿และเก็บค่าส่งไงคะ พี่ควรเลือกสักอย่างค่ะ
#foodpanda",Yes,Price,Negative
2020-08-22,15:29:03,เลิกใช้ #foodpanda,Yes,Company,Negative
2020-08-22,15:24:04,"#foodpanda
เราเคยโดนแคนเซิลออเดอร์ทั้งที่รอไปแล้วเป็นชั่วโมง อยู่ดีๆก็ยกเลิก มีแค่คำขอโทษ ไม่มีชดเชยอะไรให้ไม่มีเลยเราอาจเป็นแค่รายได้เล็กๆน้อยๆของคุณ
แต่เชื่อเถอะ เราไม่ใช่รายได้เล็กๆคนเดียวที่เอือมคุณ
ตั้งแต่การบริการ เอาเปรียบร้านค้า เอาเถอะ ขอให้โชคดีนะคะ  pic.twitter.com/oheayhtLu8",Yes,Company,Negative
2020-08-22,15:19:00,อันที่จริงจะเลิกใช้ #foodpanda มาสักพักละ ก่อนจะมีข่าว #แบนสปอนเซอร์เนชั่น ซะอีก เพราะใช้ยากถ้าเทียบกับเจ้าอื่น แล้วแถมยังสั่งวันนี้ได้กินพรุ่งนี้นี่คือแบบอิหยังวะ คือถ้าทำให้ใช้ง่ายจะไม่ว่าเลย #foodpandaTH,Yes,System,Negative
2020-08-22,15:06:52,เคยคิดจะสั่ง #foodpanda ครั้งนึง ละก็มีปัญหาตั้งแต่ครั้งแรกที่สั่งเลย ก็เลยไม่ได้กินและไปสั่งเจ้าอื่น หลังจากนั้นก็ยังไม่ได้คิดสั่งอีก จนถึงตอนนี้ดีใจจังเลยค่ะที่ไม่เคยให้เงินเจ้านี้เลยและจะไม่ให้ตลอดไป 555555,Yes,Company,Negative
2020-08-22,14:58:37,ลบถาวรเพราะขึ้นราคาขั้นต่ำ + กับ สนับสนุนอีเนชั่น บายจ้าา  #foodpanda,Yes,Price,Negative
2020-08-22,14:56:59,เคยสั่งของแล้วได้ไม่ครบ ถามคนส่งของบอกพี่ก็ไม่มีว่ามีอะไบ้าง คือยังไงอ่ะ เค้าไม่เช็คออเดอร์ก่อนหรอ จะส่งของควรทวนอออเดอร์มั้ยอ่ะ  #foodpanda,Yes,Employee,Negative
2020-08-22,14:55:37,#foodpanda ลบแล้วลบเลยไม่กลับไปใช้แล้วเด้ออออออ   ความเจ็บมันฝังจายยยยย,Yes,Company,Negative
2020-08-22,14:48:14,เราไม่เคยใช้บริการเจ้านี้เลยฝังใจเคยโดนพนงของเจ้านี้ถีบรถ เพราะรถเราติดไฟแดงอยู่เค้าจะแทรกช่องเล็กติดกับฟุตบาท พอไปไม่ได้ก็โมโหมั้ง #foodpanda,Yes,Employee,Negative
2020-08-22,13:55:28,โปรดอย่าลืมเอาเวลาไปพัฒนาแอพตัวเอง ให้ปักแผนที่บ้านคนให้แม่นยำ เท่ากับอีกแอพนึงด้วยนะคะ ปัจจุบันมันกากมากเลบค่ะ พื้นที่ใกล้เคียงยังหายากเลย 🙄 #foodpanda,Yes,System,Negative
2020-08-22,13:36:18,#foodpanda เป็นแอพเดียวที่ใช้เลย เจอแต่พนักงานขับสุภาพๆอะ ยังอยากสนับสนุนพนักงานขับนะ,Yes,Employee,Positive
2020-08-22,12:46:57,รักเสมอนะจ้าาาา #foodpanda,Yes,Company,Positive
2020-08-22,10:46:37,เคยสั่งไป 2 นาที ละย้อนดูออเดอร์ปรากฎว่าขาดไปอย่างนึง ก็รีบติดต่อไปเพราะคิดว่าจะเพิ่มออเดอร์ทัน ปรากฎนางตอบกลับว่าไม่ทันเตรียมอาหารแล้ว ให้สั่งใหม่ ซึ่งงงมากว่า 2 นาทีเองนะ แต่ก็ยอมสั่งใหม่เสียค่าส่ง 2 รอบ ซึ่งพอมาส่งจริงๆ ไรเดอร์คือคนเดียวกันอ่ะ  แบบอะไรวะ #foodpanda,Yes,Employee,Negative
2020-08-22,09:58:27,สั่งอาหารไป 5 อย่าง ตัดเงินเรียบร้อย พอของมาแล้วเอ้ะทำไมมี4 เปิดเข้าไปดูในแอป เอ้างง มี4อย่างจริงๆ แต่ตัดเงินเรา212  ซึ่งในแอปก็โชว์หลา 159 บาท งงมากแม่ #foodpanda  pic.twitter.com/ug9eQ6TM1z,Yes,System,Negative
2020-08-22,08:09:26,ปัดหมุดก็ไม่ตรงตามที่อยู่  ยิ่งรู้ว่าเป็นแอพของสลิ่ม ลบแอพสิคะ รออะไร #foodpanda,Yes,System,Negative
2020-08-22,02:21:19,ถ้าไม่เอาเรื่องการเมืองมาเกี่ยว เราว่าแอพของหมีขมพูมันใช้ยาก และน่ารำคาญอะ เยอะสิ่ง #foodpanda,Yes,System,Negative
2020-08-22,02:12:23,ปรับปรุงไรเดอร์ด้วยนะคะ มารยาทเสียใส่ลูกค้ามากกก #foodpanda,Yes,Employee,Negative
2020-08-22,01:45:27,"วันนี้สั่งน้ำมาแดก พนง.เสือกทำแก้วเเตก แถมน้ำที่สั่งมารสชาติแม่งก็โครตเฮงซวย 
#foodpanda",Yes,Employee,Negative
2020-08-22,00:29:04,ปักหมุดยังไม่ตรงเล้ย กดเท่าไรมันก็ไม่ตรง คนสั่งก็บ่น อีกค่ายตรงยั้นห้องนอนเล้ยในแอพก็หาเมนูของหวานไม่ค่อยเจอ อ่อมาเจอตรงนี้นี่เอง #foodpanda #,Yes,System,Negative
2020-08-21,23:45:11,นี่ก่อเป็นลูกค้ามาตลอดนะ แต่พอเริ่มค่าส่งเฮ้ยไม่ไหวละ กินส้มตำที 80 บาท   #foodpanda,Yes,Price,Negative
2020-08-21,23:38:45,"โมโหตรงไหนรู้มั้ย สั่งข้าวเที่ยงรอออเดอร์30นาที เราก็รอพอถึง10นาที เราก็รอผ่านไป20นาที ก็ยังขึ้น10นาที เราเริ่มโมโหเพราะหิว ผ่านไป5นาทียกเลิกข้าวเรา คือหิวไง!! จะหมดเวลาพักแล้วไง!! แล้วบอกว่าสั่งครั้งหน้าลดให้40% แล้วไหนส่วนลด ไม่มีจร้าาาา แล้ววันนั้นอดข้าวเที่ยง😏🥺😤
#foodpanda",Yes,Employee,Negative
2020-08-21,23:06:42,เอาแบบไม่เกี่ยวกับเนชั่นเลยนะ แผนที่มึงห่วยมาก หาบ้านกูไม่เจอได้ไง ปักหมุดไม่ได้เลย ไลน์แมนกับแกร้บยังมี กูจำนะ บอกวรั้ยเลยฝ #foodpanda,Yes,System,Negative
2020-08-21,23:03:10,เลิกสั่งตั้งแต่มีค่าส่วนต่างขั้นต่ำ70บาทและค่าจัดส่ง9บาทก็ยังเก็บขั้นต่ำ😑 #foodpanda,Yes,Price,Negative
2020-08-21,22:59:51,ตั้งแต่ค่าส่งอยู่ๆก็ขึ้นมา20บาท เลิกขาดเลย โจ๊กกมูไม่มีไข่50 ค่าส่งอีก20 รวม70บาท มึ จะแพงไปไหน แค่โจ๊ก #foodpanda,Yes,Price,Negative
2020-08-21,21:23:49,เอาจริงเลิกสั่งไปนานละ ไม่มีการให้คะแนนแบบGrab  ไรเดอร์ก็เลยไม่จำเป็นต้องมีมารยาท(บางคน) แต่หลายคนเลยที่เจอ มาไม่ถูกทางนี่เหวี่ยงละ #foodpanda,Yes,Employee,Negative
2020-08-21,21:13:42,ใช้มาตั้งนาน เคยเห็นเเต่โปรสำหรับลูกค้าใหม่....เเหมะๆๆๆๆๆๆๆๆๆๆๆ #foodpanda  https://twitter.com/minniemimmp/status/1296769486880612352 …,Yes,Price,Negative
2020-08-21,20:51:03,ฟู้ดแพนด้าเป็นแอปส่งอาหารอันแรกที่ใช้ ตั้งแต่สมัยยังเป็นสีแด มาวันนึงก็เปลี่ยนระบบ โอ้โหหหห ตัดบัตรเครดิตซ้ำหลายๆรอบต่อออเดอร์ และบังคับให้เราเข้าคิวในแอป รอคนตอบแชท จำได้ว่าครั้งแรกคือรอคิวเป็นชั่วโมง แล้วก็เด้งออก คือต้องกดเข้าไปใหม่ เข้าคิวใหม่ (1) #foodpanda,Yes,System,Negative
2020-08-21,20:31:13,ช่วยยกเลิกการสั่งซื้อแบบขั้นต่ำ70บาทด้วยได้ไหมอ่ะ บางทีชาแก้วละ19บาท เจอค่าสั่งซื้อขั้นต่ำไป แพงกว่าค่าของอีก #foodpanda,Yes,Price,Negative
2020-08-21,19:49:42,นี่เลิกใช้มานานมากละ เพราะเคยสั่งที่หนึ่งแล้วรอเป็นชม รอไรด์เป็นชม สุดท้ายบอกร้านปิด ฟัค #foodpanda,Yes,System,Negative
2020-08-21,19:20:04,แอปมันเหี้ยจริง ๆ โกรธตรงติดต่อคอลเซนเตอร์ยากมาก คอลเซนเตอร์ไม่ได้อยู่ในไทย และอีกมากมายความเหี้ยของ #foodpanda,Yes,Company,Negative
2020-08-21,19:00:31,ฉันโกรธตั้งแต่ไม่มีโค้ดให้ลูกค้าเก่า มีแต่โค้ดให้ลูกค้าใหม่ แล้วถ้าซื้อไม่ครบโดนบวกเพิ่มให้ครบ70 #foodpanda,Yes,Price,Negative
2020-08-21,19:00:16,นี่ตกใจราคามาก ปกติขั้นต่ำ 50 บาท ตอนนี้ขั้นต่ำ 70 แถมมีค่าส่งอีก แงง บางวันก็อยากกินแค่อย่างเดียวอ่ะ  #foodpanda,Yes,Price,Negative
2020-08-21,18:48:26,เคยสั่งน้ำแล้วน้ำมันหกเหลือแต่น้ำแข็ง((น้ำมันหกในถุงนะคะ)) พนักงานบอกเราว่ามันก็กินได้แล้วยื่นให้เราทั้งๆที่เราขอไม่นับของแล้วหลังจากนั้นก็ไม่สั่งอีกเลยค่ะ ฮือ #foodpanda,Yes,Employee,Negative
2020-08-21,18:46:54,#foodpanda ร้านปิดยกเลิกออเดอร์ เงินที่ตัดบัตรไปแล้วกี่รอบต่อกี่รอบ ก็ไม่เคยได้คืนจ้ะ บายจ้ะ,Yes,System,Negative
2020-08-21,18:07:43,เป็นแอพที่ไม่โอเคมาก เคยสั่งครั้งหนึ่งแล้วไม่รู้ว่าถูกร้านค้าหรือคนขับยกเลิกออเดอร์ แล้วไม่มีแจ้งเตือนไม่มีโทรมาบอก คือรอเป็นชั่วโมงจนต้องเข้าไปดูในแอพเองว่าออเดอร์ถึงไหนแล้วถึงจะรู้ว่าโดนยกเลิก 😠 #foodpanda,Yes,Employee,Negative
